,18hr_early,18hr_earlymid,18hr_late,18hr_latemid,3min_early,3min_earlymid,3min_late,3min_latemid,42hr_early,42hr_earlymid,42hr_late,42hr_latemid,49p5hr_early,49p5hr_earlymid,49p5hr_late,49p5hr_latemid,9hr_early,9hr_earlymid,9hr_latemid
rplo 232 (Bacteroidetes),43.0,17.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,14.0,91.0,120.0,44.0,54.0,20.0,0.0,20.0,35.0,0.0
rplo 233 (Bacteroidetes),166.0,0.0,0.0,25.0,43.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,38.0,0.0
rplo 234 (Gemmatimonadetes),138.0,37.0,0.0,24.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,43.0,0.0,45.0
rplo 235 (Bacteroidetes),47.0,19.0,0.0,23.0,129.0,94.0,24.0,21.0,0.0,15.0,0.0,65.0,0.0,0.0,21.0,0.0,44.0,38.0,0.0
rplo 236 (Proteobacteria),20.0,0.0,42.0,0.0,18.0,0.0,41.0,18.0,17.0,13.0,42.0,0.0,0.0,0.0,18.0,119.0,0.0,32.0,20.0
rplo 237 (Firmicutes),0.0,17.0,0.0,0.0,20.0,43.0,43.0,19.0,37.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,21.0
rplo 238 (Acidobacteria),0.0,0.0,0.0,0.0,25.0,0.0,55.0,24.0,23.0,0.0,0.0,0.0,83.0,0.0,0.0,24.0,126.0,22.0,27.0
rplo 239 (Proteobacteria),0.0,20.0,0.0,52.0,23.0,0.0,25.0,22.0,0.0,16.0,52.0,103.0,49.0,31.0,67.0,21.0,23.0,20.0,0.0
rplo 24 (Actinobacteria),73.0,77.0,50.0,128.0,396.0,25.0,316.0,130.0,144.0,94.0,102.0,134.0,49.0,0.0,87.0,230.0,200.0,155.0,259.0
rplo 240 (Actinobacteria),19.0,31.0,0.0,41.0,89.0,0.0,20.0,0.0,0.0,0.0,20.0,54.0,0.0,0.0,18.0,0.0,36.0,30.0,0.0
rplo 241 (Gemmatimonadetes),0.0,0.0,0.0,38.0,0.0,0.0,143.0,29.0,0.0,0.0,75.0,49.0,0.0,0.0,60.0,31.0,0.0,28.0,67.0
rplo 242 (Acidobacteria),48.0,38.0,25.0,0.0,22.0,0.0,0.0,0.0,61.0,31.0,50.0,0.0,24.0,89.0,0.0,21.0,0.0,38.0,23.0
rplo 243 (Cyanobacteria),22.0,0.0,0.0,0.0,0.0,114.0,22.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
rplo 244 (Bacteroidetes),95.0,19.0,0.0,25.0,22.0,98.0,24.0,0.0,40.0,15.0,0.0,64.0,0.0,30.0,0.0,20.0,0.0,57.0,23.0
rplo 245 (Firmicutes),0.0,0.0,45.0,23.0,59.0,22.0,65.0,0.0,0.0,14.0,91.0,0.0,0.0,27.0,0.0,0.0,20.0,17.0,0.0
rplo 246 (Aquificae),0.0,0.0,22.0,68.0,39.0,43.0,0.0,0.0,0.0,0.0,66.0,60.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
rplo 247 (Firmicutes),20.0,36.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,58.0,94.0,31.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0
rplo 248 (Cyanobacteria),0.0,0.0,0.0,0.0,22.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,22.0,0.0,0.0
rplo 249 (Proteobacteria),49.0,20.0,0.0,26.0,23.0,0.0,0.0,0.0,21.0,32.0,26.0,68.0,0.0,0.0,0.0,0.0,46.0,0.0,24.0
rplo 25 (Acidobacteria),22.0,51.0,0.0,93.0,714.0,90.0,243.0,566.0,37.0,199.0,0.0,30.0,88.0,82.0,20.0,19.0,18.0,70.0,107.0
rplo 250 (Actinobacteria),48.0,135.0,0.0,0.0,22.0,0.0,0.0,22.0,41.0,16.0,0.0,0.0,73.0,60.0,0.0,21.0,45.0,0.0,0.0
rplo 251 (Proteobacteria),0.0,0.0,45.0,0.0,0.0,0.0,85.0,39.0,37.0,0.0,0.0,0.0,44.0,0.0,40.0,0.0,81.0,31.0,0.0
rplo 252 (Thermotogae),0.0,18.0,24.0,50.0,43.0,0.0,70.0,21.0,99.0,15.0,0.0,0.0,24.0,0.0,0.0,0.0,22.0,37.0,21.0
rplo 253 (Actinobacteria),0.0,0.0,25.0,76.0,0.0,25.0,0.0,22.0,41.0,47.0,51.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,93.0
rplo 254 (Proteobacteria),0.0,0.0,0.0,0.0,135.0,0.0,25.0,0.0,0.0,16.0,0.0,0.0,75.0,0.0,0.0,0.0,183.0,20.0,24.0
rplo 255 (Proteobacteria),0.0,137.0,19.0,23.0,20.0,22.0,0.0,39.0,0.0,14.0,0.0,60.0,22.0,0.0,0.0,37.0,0.0,17.0,21.0
rplo 256 (Acidobacteria),89.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,28.0,67.0,0.0,0.0,19.0,0.0,36.0,0.0
rplo 257 (Chloroflexi),0.0,34.0,22.0,0.0,19.0,22.0,21.0,0.0,0.0,14.0,22.0,59.0,21.0,0.0,19.0,18.0,20.0,51.0,41.0
rplo 258 (Actinobacteria),51.0,94.0,0.0,36.0,0.0,0.0,0.0,15.0,57.0,110.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,14.0,49.0
rplo 259 (Proteobacteria),159.0,0.0,23.0,48.0,21.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,42.0,0.0,0.0
rplo 26 (Actinobacteria),242.0,586.0,0.0,178.0,175.0,0.0,24.0,230.0,141.0,173.0,25.0,62.0,73.0,0.0,0.0,230.0,134.0,251.0,141.0
rplo 260 (Acidobacteria),0.0,0.0,21.0,0.0,42.0,23.0,0.0,0.0,19.0,0.0,116.0,0.0,0.0,57.0,124.0,0.0,0.0,0.0,0.0
rplo 261 (Bacteroidetes),0.0,27.0,0.0,0.0,31.0,69.0,33.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,54.0,0.0
rplo 262 (Actinobacteria),45.0,96.0,0.0,48.0,0.0,0.0,30.0,0.0,25.0,49.0,0.0,41.0,0.0,0.0,0.0,13.0,69.0,12.0,44.0
rplo 263 (Cyanobacteria),0.0,0.0,25.0,0.0,44.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,19.0,21.0
rplo 264 (Actinobacteria),0.0,0.0,25.0,0.0,22.0,0.0,49.0,65.0,0.0,0.0,51.0,101.0,0.0,0.0,22.0,21.0,0.0,58.0,24.0
rplo 265 (Verrucomicrobia),22.0,0.0,24.0,24.0,42.0,24.0,46.0,59.0,0.0,13.0,48.0,0.0,23.0,0.0,0.0,0.0,21.0,0.0,0.0
rplo 266 (Proteobacteria),0.0,53.0,43.0,0.0,0.0,46.0,22.0,0.0,0.0,0.0,0.0,62.0,45.0,0.0,0.0,0.0,0.0,18.0,22.0
rplo 267 (Proteobacteria),0.0,0.0,23.0,23.0,0.0,68.0,0.0,20.0,0.0,14.0,69.0,27.0,0.0,0.0,0.0,38.0,0.0,0.0,43.0
rplo 268 (Chloroflexi),0.0,0.0,75.0,0.0,17.0,18.0,37.0,0.0,0.0,24.0,93.0,0.0,18.0,0.0,82.0,16.0,0.0,15.0,35.0
rplo 269 (Actinobacteria),43.0,18.0,0.0,24.0,0.0,0.0,23.0,0.0,20.0,119.0,0.0,0.0,0.0,58.0,42.0,0.0,0.0,0.0,22.0
rplo 27 (Proteobacteria),213.0,119.0,0.0,68.0,233.0,152.0,64.0,132.0,106.0,207.0,22.0,29.0,64.0,159.0,38.0,110.0,177.0,68.0,248.0
rplo 270 (Actinobacteria),0.0,17.0,44.0,23.0,0.0,0.0,21.0,38.0,0.0,0.0,67.0,0.0,0.0,0.0,38.0,55.0,0.0,34.0,41.0
rplo 271 (Proteobacteria),0.0,17.0,153.0,90.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,27.0,0.0,18.0,0.0,0.0,0.0
rplo 272 (Thermotogae),0.0,37.0,0.0,0.0,0.0,0.0,0.0,42.0,40.0,0.0,0.0,0.0,24.0,0.0,0.0,20.0,22.0,56.0,23.0
rplo 273 (Acidobacteria),45.0,0.0,0.0,47.0,61.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,66.0,0.0,0.0,0.0,21.0,0.0,0.0
rplo 274 (Bacteroidetes),24.0,0.0,0.0,50.0,0.0,24.0,0.0,42.0,0.0,31.0,0.0,190.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0
rplo 275 (Chloroflexi),21.0,17.0,43.0,0.0,19.0,0.0,21.0,37.0,0.0,14.0,44.0,29.0,21.0,0.0,19.0,0.0,39.0,17.0,0.0
rplo 276 (Bacteroidetes),0.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,22.0,0.0,0.0
rplo 277 (Chloroflexi),72.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,50.0,10.0,0.0,41.0,15.0,0.0,0.0,37.0,69.0,0.0,57.0
rplo 278 (unknown),81.0,32.0,0.0,85.0,0.0,0.0,0.0,36.0,34.0,79.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
rplo 279 (Chloroflexi),18.0,42.0,0.0,0.0,16.0,0.0,0.0,47.0,15.0,45.0,0.0,0.0,18.0,22.0,0.0,15.0,0.0,98.0,0.0
rplo 28 (Proteobacteria),19.0,46.0,40.0,82.0,106.0,80.0,78.0,139.0,50.0,63.0,408.0,107.0,20.0,145.0,263.0,100.0,108.0,47.0,94.0
rplo 280 (Acidobacteria),21.0,36.0,0.0,0.0,41.0,92.0,0.0,0.0,38.0,15.0,23.0,0.0,0.0,56.0,0.0,0.0,21.0,0.0,0.0
rplo 281 (Chloroflexi),0.0,14.0,19.0,19.0,0.0,37.0,0.0,16.0,0.0,23.0,114.0,50.0,0.0,23.0,0.0,16.0,0.0,14.0,53.0
rplo 282 (Acidobacteria),23.0,0.0,0.0,48.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,19.0,0.0,18.0,22.0
rplo 283 (Verrucomicrobia),96.0,19.0,0.0,23.0,65.0,25.0,0.0,0.0,61.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,23.0
rplo 284 (Acidobacteria),22.0,0.0,0.0,47.0,61.0,69.0,22.0,40.0,0.0,0.0,23.0,0.0,67.0,0.0,0.0,0.0,0.0,36.0,22.0
rplo 285 (Proteobacteria),0.0,0.0,91.0,23.0,0.0,0.0,22.0,20.0,19.0,0.0,46.0,0.0,86.0,0.0,20.0,57.0,0.0,0.0,21.0
rplo 286 (unknown),0.0,0.0,0.0,71.0,20.0,0.0,0.0,40.0,19.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,70.0,22.0
rplo 287 (Chloroflexi),18.0,0.0,0.0,19.0,0.0,18.0,0.0,0.0,0.0,70.0,19.0,25.0,0.0,90.0,0.0,73.0,0.0,14.0,52.0
rplo 288 (Deinococcus-Thermus),0.0,0.0,0.0,0.0,0.0,21.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,39.0,33.0,0.0
rplo 289 (Proteobacteria),21.0,67.0,0.0,0.0,0.0,0.0,21.0,37.0,0.0,14.0,22.0,29.0,0.0,0.0,0.0,18.0,39.0,33.0,0.0
rplo 29 (Gemmatimonadetes),0.0,55.0,0.0,98.0,21.0,1131.0,23.0,330.0,0.0,75.0,170.0,128.0,0.0,29.0,21.0,0.0,0.0,184.0,67.0
rplo 290 (Acidobacteria),0.0,0.0,0.0,0.0,0.0,46.0,91.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,19.0,42.0,0.0,0.0
rplo 291 (Nitrospirae),0.0,19.0,0.0,50.0,22.0,0.0,0.0,0.0,20.0,31.0,25.0,33.0,24.0,59.0,0.0,0.0,0.0,0.0,0.0
rplo 292 (Actinobacteria),0.0,46.0,0.0,0.0,0.0,0.0,19.0,52.0,0.0,13.0,20.0,80.0,0.0,0.0,0.0,17.0,18.0,0.0,38.0
rplo 293 (Acidobacteria),0.0,18.0,0.0,0.0,0.0,46.0,0.0,79.0,19.0,0.0,23.0,31.0,22.0,0.0,0.0,0.0,21.0,18.0,0.0
rplo 294 (Verrucomicrobia),24.0,0.0,25.0,72.0,0.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,24.0
rplo 295 (Actinobacteria),110.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,48.0,38.0,0.0,0.0,0.0,33.0,0.0,0.0,59.0,0.0
rplo 296 (Gemmatimonadetes),0.0,35.0,0.0,0.0,20.0,45.0,19.0,59.0,38.0,0.0,23.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
rplo 297 (Proteobacteria),0.0,0.0,0.0,24.0,21.0,0.0,46.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,22.0
rplo 298 (Chloroflexi),18.0,72.0,0.0,38.0,0.0,0.0,0.0,0.0,107.0,23.0,38.0,25.0,0.0,0.0,0.0,16.0,0.0,14.0,35.0
rplo 299 (unknown),22.0,35.0,0.0,0.0,0.0,23.0,22.0,0.0,0.0,29.0,23.0,0.0,22.0,28.0,0.0,19.0,21.0,18.0,0.0
rplo 3 (Proteobacteria),164.0,147.0,83.0,43.0,130.0,147.0,206.0,110.0,1960.0,1279.0,750.0,85.0,3465.0,1373.0,3582.0,2145.0,188.0,194.0,79.0
rplo 30 (Proteobacteria),203.0,89.0,69.0,72.0,82.0,46.0,45.0,59.0,210.0,307.0,47.0,218.0,113.0,140.0,81.0,155.0,167.0,36.0,152.0
rplo 300 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,22.0,21.0,19.0,18.0,27.0,44.0,87.0,0.0,0.0,19.0,18.0,19.0,34.0,0.0
rplo 301 (Chloroflexi),50.0,28.0,18.0,19.0,0.0,36.0,53.0,0.0,0.0,23.0,110.0,24.0,0.0,0.0,16.0,0.0,0.0,0.0,17.0
rplo 302 (unknown),0.0,0.0,0.0,0.0,41.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0
rplo 303 (Actinobacteria),24.0,19.0,25.0,0.0,44.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,22.0,58.0,24.0
rplo 304 (Chloroflexi),23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,135.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,67.0
rplo 305 (Firmicutes),0.0,16.0,0.0,0.0,18.0,21.0,0.0,36.0,34.0,13.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
rplo 306 (Thermotogae),0.0,0.0,0.0,0.0,0.0,142.0,60.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 307 (Acidobacteria),17.0,54.0,0.0,36.0,16.0,35.0,0.0,15.0,14.0,21.0,0.0,24.0,17.0,0.0,0.0,15.0,0.0,27.0,0.0
rplo 308 (unknown),0.0,35.0,0.0,0.0,20.0,0.0,67.0,0.0,36.0,0.0,0.0,30.0,22.0,0.0,0.0,38.0,41.0,18.0,22.0
rplo 309 (unknown),89.0,35.0,0.0,0.0,20.0,22.0,0.0,20.0,35.0,14.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,43.0
rplo 31 (Firmicutes),0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,797.0,0.0,0.0,132.0,1082.0,30.0,0.0,663.0,22.0,0.0,0.0
rplo 310 (Chloroflexi),72.0,43.0,0.0,0.0,0.0,37.0,0.0,0.0,31.0,70.0,19.0,0.0,0.0,90.0,0.0,15.0,0.0,13.0,0.0
rplo 311 (Acidobacteria),0.0,0.0,0.0,23.0,0.0,68.0,0.0,20.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,38.0,0.0,18.0,86.0
rplo 312 (Gemmatimonadetes),23.0,0.0,0.0,0.0,146.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,18.0,67.0
rplo 313 (Firmicutes),0.0,64.0,0.0,65.0,0.0,0.0,0.0,18.0,0.0,13.0,0.0,56.0,0.0,0.0,18.0,18.0,0.0,0.0,79.0
rplo 314 (Acidobacteria),45.0,0.0,0.0,47.0,82.0,23.0,0.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,22.0
rplo 315 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,23.0,31.0,45.0,0.0,40.0,0.0,82.0,0.0,21.0
rplo 316 (Bacteroidetes),96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,0.0,0.0,0.0,0.0,22.0,19.0,21.0
rplo 317 (Gemmatimonadetes),0.0,0.0,0.0,72.0,63.0,24.0,23.0,42.0,0.0,0.0,0.0,32.0,20.0,0.0,21.0,0.0,0.0,19.0,23.0
rplo 318 (Acidobacteria),0.0,0.0,39.0,121.0,70.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,37.0
rplo 319 (Cyanobacteria),0.0,0.0,96.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,62.0,0.0,0.0,22.0
rplo 32 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,181.0,1177.0,163.0,0.0,704.0,30.0,0.0,0.0
rplo 320 (Actinobacteria),0.0,0.0,0.0,0.0,0.0,75.0,0.0,43.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,22.0,58.0,0.0
rplo 321 (Firmicutes),45.0,0.0,0.0,24.0,41.0,0.0,23.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,21.0,51.0,42.0
rplo 322 (Actinobacteria),21.0,51.0,22.0,23.0,20.0,0.0,0.0,0.0,18.0,0.0,0.0,30.0,21.0,0.0,0.0,18.0,40.0,33.0,42.0
rplo 323 (Acidobacteria),22.0,0.0,0.0,0.0,20.0,44.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,41.0,0.0,0.0
rplo 324 (Proteobacteria),0.0,19.0,0.0,26.0,23.0,0.0,0.0,0.0,21.0,64.0,26.0,34.0,25.0,0.0,0.0,0.0,46.0,40.0,24.0
rplo 325 (Planctomycetes),0.0,52.0,0.0,44.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0
rplo 326 (Actinobacteria),24.0,58.0,0.0,0.0,22.0,25.0,0.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
rplo 327 (Proteobacteria),0.0,0.0,0.0,52.0,45.0,100.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,0.0
rplo 328 (Chloroflexi),19.0,15.0,40.0,0.0,0.0,20.0,0.0,17.0,16.0,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,77.0,36.0
rplo 329 (Bacteroidetes),71.0,0.0,0.0,0.0,43.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0
rplo 33 (Bacteroidetes),214.0,38.0,24.0,0.0,86.0,24.0,143.0,0.0,141.0,0.0,174.0,0.0,594.0,30.0,450.0,143.0,88.0,19.0,46.0
rplo 330 (Chloroflexi),0.0,29.0,0.0,57.0,16.0,0.0,0.0,16.0,15.0,23.0,57.0,0.0,0.0,22.0,16.0,31.0,17.0,14.0,0.0
rplo 331 (Bacteroidetes),0.0,0.0,25.0,25.0,0.0,47.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,139.0
rplo 332 (Cyanobacteria),0.0,0.0,49.0,0.0,0.0,49.0,24.0,21.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 333 (Firmicutes),0.0,0.0,22.0,22.0,0.0,0.0,0.0,19.0,0.0,0.0,22.0,0.0,0.0,26.0,19.0,0.0,39.0,34.0,20.0
rplo 334 (Actinobacteria),24.0,0.0,48.0,0.0,0.0,0.0,25.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,47.0
rplo 335 (Actinobacteria),0.0,87.0,0.0,0.0,0.0,0.0,22.0,39.0,0.0,0.0,23.0,0.0,0.0,27.0,0.0,38.0,0.0,52.0,42.0
rplo 336 (Proteobacteria),0.0,0.0,20.0,0.0,0.0,0.0,40.0,36.0,0.0,0.0,42.0,28.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
rplo 337 (unknown),0.0,17.0,67.0,23.0,0.0,0.0,44.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,42.0
rplo 338 (Actinobacteria),0.0,19.0,0.0,0.0,44.0,25.0,0.0,43.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,19.0,23.0
rplo 339 (Bacteroidetes),0.0,0.0,0.0,0.0,22.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
rplo 34 (Actinobacteria),312.0,303.0,49.0,102.0,44.0,49.0,48.0,43.0,163.0,125.0,25.0,0.0,24.0,150.0,0.0,187.0,65.0,56.0,161.0
rplo 340 (unknown),0.0,0.0,0.0,23.0,0.0,45.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,58.0
rplo 341 (Actinobacteria),93.0,56.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,23.0
rplo 342 (Chloroflexi),0.0,41.0,0.0,27.0,0.0,0.0,0.0,0.0,22.0,51.0,0.0,72.0,0.0,64.0,0.0,22.0,0.0,0.0,0.0
rplo 343 (Acidobacteria),0.0,0.0,0.0,0.0,40.0,0.0,22.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 344 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,22.0,40.0,0.0,29.0,47.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
rplo 345 (Actinobacteria),0.0,0.0,44.0,0.0,20.0,43.0,41.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,0.0,19.0,0.0,0.0,0.0
rplo 346 (Chloroflexi),0.0,19.0,0.0,0.0,44.0,0.0,0.0,0.0,21.0,62.0,0.0,0.0,25.0,30.0,0.0,21.0,23.0,0.0,24.0
rplo 347 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,22.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
rplo 348 (Cyanobacteria),0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
rplo 349 (Acidobacteria),45.0,0.0,0.0,0.0,41.0,0.0,23.0,0.0,19.0,15.0,24.0,0.0,23.0,28.0,61.0,0.0,0.0,18.0,0.0
rplo 35 (Proteobacteria),21.0,50.0,0.0,154.0,95.0,64.0,82.0,130.0,35.0,0.0,44.0,84.0,42.0,78.0,0.0,18.0,116.0,116.0,141.0
rplo 350 (Proteobacteria),22.0,17.0,0.0,24.0,0.0,0.0,0.0,20.0,19.0,14.0,23.0,92.0,0.0,27.0,20.0,17.0,21.0,0.0,0.0
rplo 351 (Acidobacteria),0.0,0.0,0.0,47.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,31.0,0.0,0.0,20.0,0.0,0.0,54.0,0.0
rplo 352 (Bacteroidetes),24.0,0.0,0.0,0.0,22.0,0.0,48.0,0.0,0.0,0.0,0.0,66.0,24.0,0.0,0.0,20.0,22.0,38.0,19.0
rplo 353 (Firmicutes),0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,64.0,35.0,0.0
rplo 354 (Cyanobacteria),0.0,0.0,24.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 355 (Verrucomicrobia),125.0,0.0,0.0,0.0,16.0,19.0,37.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,15.0,0.0
rplo 356 (Proteobacteria),0.0,20.0,0.0,55.0,0.0,53.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,22.0,24.0,0.0,0.0
rplo 357 (Cyanobacteria),23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,42.0,0.0,0.0
rplo 358 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 359 (Actinobacteria),34.0,70.0,0.0,19.0,16.0,0.0,0.0,0.0,30.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,17.0
rplo 36 (Actinobacteria),194.0,119.0,44.0,114.0,59.0,89.0,22.0,115.0,73.0,125.0,45.0,327.0,87.0,106.0,0.0,112.0,40.0,155.0,63.0
rplo 360 (Firmicutes),32.0,38.0,0.0,0.0,0.0,33.0,0.0,72.0,0.0,31.0,0.0,0.0,0.0,40.0,0.0,28.0,0.0,0.0,0.0
rplo 361 (Firmicutes),24.0,0.0,0.0,50.0,22.0,0.0,0.0,0.0,20.0,0.0,0.0,33.0,0.0,111.0,0.0,20.0,0.0,0.0,0.0
rplo 362 (unknown),93.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,20.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0
rplo 363 (Proteobacteria),20.0,0.0,62.0,0.0,0.0,0.0,41.0,18.0,0.0,0.0,61.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0
rplo 364 (Firmicutes),0.0,19.0,0.0,25.0,0.0,0.0,24.0,0.0,0.0,31.0,23.0,0.0,0.0,0.0,0.0,18.0,0.0,57.0,23.0
rplo 365 (Armatimonadetes),86.0,17.0,0.0,0.0,39.0,0.0,0.0,19.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0
rplo 366 (Firmicutes),23.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,58.0,0.0,40.0,0.0,0.0,0.0
rplo 367 (unknown),44.0,17.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
rplo 368 (Verrucomicrobia),0.0,17.0,22.0,0.0,0.0,89.0,0.0,55.0,0.0,28.0,91.0,0.0,0.0,0.0,0.0,19.0,0.0,17.0,0.0
rplo 369 (Chloroflexi),12.0,78.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,16.0,13.0,17.0,0.0,15.0,22.0,0.0,11.0,9.0,35.0
